listing_id,listing_name,room_type,minimum_nights,price,host_id,host_name,is_superhost,created_at,updated_at
48602039,One Room Apartment,Entire home/apt,7,25.0,235188041,Pedram,f,2025-01-18 20:31:48+00:00,2025-01-18 20:31:48
32493376,Bright and friendly room in a beautiful area:),Private room,1,60.0,35146426,Clara,f,2025-01-18 19:18:22+00:00,2025-01-18 19:18:22
40440916,Sunny & Spacious Flat in Kastanienallee,Entire home/apt,365,85.0,3743292,Marcelo,f,2025-01-18 19:10:07+00:00,2025-01-18 19:10:07
30686711,Lovely Studio for one month,Entire home/apt,30,18.0,70162844,Ebram,f,2025-01-18 19:09:00+00:00,2025-01-18 19:09:00
22060183,Best area best preis! Cat included!!,Entire home/apt,1,20.0,21039758,Valentina,f,2025-01-18 18:33:06+00:00,2025-01-18 18:33:06
7935870,Moabiter Schlummermutter,Shared room,1,59.0,41848444,Amandara M.,f,2025-01-18 18:20:26+00:00,2025-01-18 18:20:26
16424150,Nice and cosy flat in Kreuzberg!,Entire home/apt,3,55.0,30338608,Maria,f,2025-01-18 17:54:51+00:00,2025-01-18 17:54:51
24627537,Cozy west Berlin Altbau in Charlottenburg,Entire home/apt,1,45.0,1095067,Josh,f,2025-01-18 17:48:59+00:00,2025-01-18 17:48:59
44411065,Berlin home directly in Hasenheide park,Private room,7,45.0,159614605,Carlos,f,2025-01-18 17:41:26+00:00,2025-01-18 17:41:26
9485145,Nice Berlin Apartment,Entire home/apt,1,135.0,12895544,Alexandra,f,2025-01-18 17:38:16+00:00,2025-01-18 17:38:16
48997107,Comfy&cozy hotel room for 3 central to subway,Private room,14,71.0,108025548,,,2025-01-18 17:23:05+00:00,2025-01-18 17:23:05
12035953,Big Apartment near Tegel,Entire home/apt,60,42.0,18046938,,,2025-01-18 16:56:37+00:00,2025-01-18 16:56:37
5157203,Neukölln!!!,Entire home/apt,1,40.0,25561949,Frank,f,2025-01-18 16:37:25+00:00,2025-01-18 16:37:25
51415401,"Doppelzimmer ""Medium Twin"" Mit 2 Einzelbetten",Private room,1,190.0,415771368,,,2025-01-18 16:35:11+00:00,2025-01-18 16:35:11
21214782,Schlafen an der Spree,Entire home/apt,5,35.0,152068633,Philipp,f,2025-01-18 16:32:43+00:00,2025-01-18 16:32:43
51445317,Cozy & Beautiful Room in Neukölln,Private room,2,85.0,80482488,Sonja,f,2025-01-18 16:21:52+00:00,2025-01-18 16:21:52
41430587,Micoswohnung,Private room,1,80.0,325856414,Markus,f,2025-01-18 16:09:19+00:00,2025-01-18 16:09:19
4621461,Kreuzberg 19th century flat,Private room,2,50.0,23937038,Simon,f,2025-01-18 16:07:25+00:00,2025-01-18 16:07:25
20109087,Amazing home in Berlin-Köpenick with Sauna and 2 Bedrooms,Entire home/apt,28,84.0,141539959,,,2025-01-18 15:51:57+00:00,2025-01-18 15:51:57
17453626,Cosy bright colourful apartment,Entire home/apt,6,25.0,7133966,Vandana,f,2025-01-18 15:40:54+00:00,2025-01-18 15:40:54
12468108,"1,5 Zimmer Wohung in Kreuzberg",Entire home/apt,7,39.0,62304690,Arne,f,2025-01-18 15:32:03+00:00,2025-01-18 15:32:03
29847365,Great cozy Berlin room with two floors and balkony,Private room,2,70.0,3432145,Moritz,f,2025-01-18 15:15:45+00:00,2025-01-18 15:15:45
38994025,Luxury modern loft close to water,Entire home/apt,14,140.0,19520560,Ivan,f,2025-01-18 15:10:56+00:00,2025-01-18 15:10:56
45501555,"Sunny, Quiet Studio Loft in Prenzlauerberg",Entire home/apt,1,85.0,28274520,Stef,f,2025-01-18 15:08:20+00:00,2025-01-18 15:08:20
52332750,Bright and spacious apartment in Friedrichshain,Entire home/apt,2,80.0,41053818,Blk,f,2025-01-18 14:54:35+00:00,2025-01-18 14:54:35
