listing_id,listing_name,room_type,minimum_nights,host_id,price,created_at,updated_at,hour_partition
44549170,Little gem in the heart of Berlin,Entire home/apt,7,210979600,50.0,2025-01-19 10:03:23+00:00,2025-01-19 10:03:23+00:00,2025-01-19 10:00:00+00:00
7136371,Spacious and cosy flat in Kreuzberg,Entire home/apt,7,3410903,75.0,2025-01-19 09:39:47+00:00,2025-01-19 09:39:47+00:00,2025-01-19 09:00:00+00:00
21621006,17m² quiet room in central kreuzberg,Private room,1,82245405,29.0,2025-01-19 09:26:53+00:00,2025-01-19 09:26:53+00:00,2025-01-19 09:00:00+00:00
19689677,Comfy east side,Entire home/apt,1,138694757,50.0,2025-01-19 09:26:31+00:00,2025-01-19 09:26:31+00:00,2025-01-19 09:00:00+00:00
46719329,"2-Raum Penthouse, 59 qm, Longstay (1-6 months)",Entire home/apt,29,210700814,125.0,2025-01-19 08:54:10+00:00,2025-01-19 08:54:10+00:00,2025-01-19 08:00:00+00:00
22118984,Cosy room to stay,Private room,3,149151975,15.0,2025-01-19 08:39:45+00:00,2025-01-19 08:39:45+00:00,2025-01-19 08:00:00+00:00
11865663,Sonniges Zimmer in cooler 2-er WG,Private room,1,63252838,20.0,2025-01-19 08:25:35+00:00,2025-01-19 08:25:35+00:00,2025-01-19 08:00:00+00:00
19473299,Cosy room in green area,Private room,1,21611073,24.0,2025-01-19 08:21:29+00:00,2025-01-19 08:21:29+00:00,2025-01-19 08:00:00+00:00
9874953,Modern Flat near Potsdamer Platz,Entire home/apt,1,50814368,160.0,2025-01-19 08:07:24+00:00,2025-01-19 08:07:24+00:00,2025-01-19 08:00:00+00:00
44346533,"möbliertes Zimmer, Bad und Küche in Berlin-Mitte",Private room,60,185127873,26.0,2025-01-19 08:03:37+00:00,2025-01-19 08:03:37+00:00,2025-01-19 08:00:00+00:00
52821218,Cosy 3BR 2BTH +A/C +Self Check-In +Street Parking,Entire home/apt,1,125847915,119.0,2025-01-19 07:46:01+00:00,2025-01-19 07:46:01+00:00,2025-01-19 07:00:00+00:00
52709676,Berlin Rathenauer Platz,Entire home/apt,2,332515272,101.0,2025-01-19 07:38:45+00:00,2025-01-19 07:38:45+00:00,2025-01-19 07:00:00+00:00
7341721,"Top location apartment 5, Ostkreuz",Private room,1,19297176,40.0,2025-01-19 07:33:13+00:00,2025-01-19 07:33:13+00:00,2025-01-19 07:00:00+00:00
37584556,Cozy room in Kreuzberg,Private room,3,78396686,33.0,2025-01-19 07:04:54+00:00,2025-01-19 07:04:54+00:00,2025-01-19 07:00:00+00:00
43129947,1 zimmer apartment im Berlin,Entire home/apt,1,343362459,17.0,2025-01-19 07:03:24+00:00,2025-01-19 07:03:24+00:00,2025-01-19 07:00:00+00:00
40904538,Gemütliches Zimmer im Zentrum Berlins,Private room,3,42476536,85.0,2025-01-19 07:02:44+00:00,2025-01-19 07:02:44+00:00,2025-01-19 07:00:00+00:00
52292663,1 bedroom Apartment at the heart of Bergmannkiez,Entire home/apt,12,3776656,50.0,2025-01-19 06:45:18+00:00,2025-01-19 06:45:18+00:00,2025-01-19 06:00:00+00:00
32444799,Beautiful room Central Berlin,Private room,4,183729511,60.0,2025-01-19 06:36:17+00:00,2025-01-19 06:36:17+00:00,2025-01-19 06:00:00+00:00
18358079,calm and nice flat in spandau,Private room,1,126621397,35.0,2025-01-19 06:12:28+00:00,2025-01-19 06:12:28+00:00,2025-01-19 06:00:00+00:00
52377186,NuWave Hotel Berlin - Classic Triple Room,Private room,1,421557030,127.0,2025-01-19 06:10:25+00:00,2025-01-19 06:10:25+00:00,2025-01-19 06:00:00+00:00
42033637,Gemütliches Zuhause in Berlin Pankow,Entire home/apt,7,333116165,35.0,2025-01-19 05:44:20+00:00,2025-01-19 05:44:20+00:00,2025-01-19 05:00:00+00:00
16465773,Gemütliche Wohnung nähe Schloss Charlottenburg,Entire home/apt,3,89268468,99.0,2025-01-19 05:21:16+00:00,2025-01-19 05:21:16+00:00,2025-01-19 05:00:00+00:00
45068810,Schöne 2-Zimmer Wohnung in Berlin,Entire home/apt,5,363700882,33.0,2025-01-19 05:10:32+00:00,2025-01-19 05:10:32+00:00,2025-01-19 05:00:00+00:00
46719436,"4-Raum Penthouse, 147 qm, Longstay (1-6 months)",Entire home/apt,29,210700814,313.0,2025-01-19 04:39:16+00:00,2025-01-19 04:39:16+00:00,2025-01-19 04:00:00+00:00
4929901,Cosy one room apartment in Neukölln (4 people),Entire home/apt,1,25395752,35.0,2025-01-19 03:21:57+00:00,2025-01-19 03:21:57+00:00,2025-01-19 03:00:00+00:00
43568803,Altbau Studio Oasis in the Heart of Schöneberg,Entire home/apt,5,35594166,62.0,2025-01-19 02:18:19+00:00,2025-01-19 02:18:19+00:00,2025-01-19 02:00:00+00:00
6241243,Large sunny room in Kreuzberg,Private room,3,32052575,30.0,2025-01-19 02:09:13+00:00,2025-01-19 02:09:13+00:00,2025-01-19 02:00:00+00:00
43412876,Tolle 2 Zi Wohnung in begehrter Lage,Entire home/apt,90,345964111,50.0,2025-01-19 02:04:51+00:00,2025-01-19 02:04:51+00:00,2025-01-19 02:00:00+00:00
47534144,Charming  Apartment,Entire home/apt,92,245134540,40.0,2025-01-19 01:42:21+00:00,2025-01-19 01:42:21+00:00,2025-01-19 01:00:00+00:00
9297443,Large room in vibrant Sprengelkiez,Private room,8,48268160,13.0,2025-01-19 01:15:38+00:00,2025-01-19 01:15:38+00:00,2025-01-19 01:00:00+00:00
25039925,Charming Apartment near Mauerpark,Entire home/apt,3,131496623,110.0,2025-01-19 01:14:33+00:00,2025-01-19 01:14:33+00:00,2025-01-19 01:00:00+00:00
35559289,120 qm Apartment w/balcony in beautiful Zehlendorf,Entire home/apt,30,71365406,45.0,2025-01-19 00:51:08+00:00,2025-01-19 00:51:08+00:00,2025-01-19 00:00:00+00:00
42750190,"Luxurious, sunny and large Coolness in Kreuzberg",Entire home/apt,2,9139634,200.0,2025-01-19 00:43:34+00:00,2025-01-19 00:43:34+00:00,2025-01-19 00:00:00+00:00
45666076,Lachmannstraße. 3,Entire home/apt,3,369958333,99.0,2025-01-19 00:36:46+00:00,2025-01-19 00:36:46+00:00,2025-01-19 00:00:00+00:00
8021361,Cheap Room in Berlin,Private room,1,42350439,9.0,2025-01-19 00:35:49+00:00,2025-01-19 00:35:49+00:00,2025-01-19 00:00:00+00:00
50558596,Chill in Center of the City,Entire home/apt,1,277979335,80.0,2025-01-19 00:34:26+00:00,2025-01-19 00:34:26+00:00,2025-01-19 00:00:00+00:00
18893546,cosy and peaceful room in the center of Berlin,Private room,1,131658946,43.0,2025-01-19 00:25:27+00:00,2025-01-19 00:25:27+00:00,2025-01-19 00:00:00+00:00
7687245,Spacious Berlin City Apartment,Entire home/apt,3,7775858,75.0,2025-01-18 23:48:06+00:00,2025-01-18 23:48:06+00:00,2025-01-18 23:00:00+00:00
43696722,Renovated Historical Place in Kastanienallee,Private room,5,57963738,30.0,2025-01-18 23:42:42+00:00,2025-01-18 23:42:42+00:00,2025-01-18 23:00:00+00:00
39519638,"Beautifully furnished , light-flooded apartment",Entire home/apt,93,43917936,65.0,2025-01-18 23:42:18+00:00,2025-01-18 23:42:18+00:00,2025-01-18 23:00:00+00:00
23158760,Beautiful and big room with balcony in Neukölln,Private room,2,112840196,25.0,2025-01-18 23:41:31+00:00,2025-01-18 23:41:31+00:00,2025-01-18 23:00:00+00:00
12625592,Central Berlin Apartment,Entire home/apt,1,68548589,60.0,2025-01-18 23:19:00+00:00,2025-01-18 23:19:00+00:00,2025-01-18 23:00:00+00:00
22770493,Schöne 1 Zimmer Wohnung in Friedrichshain.,Entire home/apt,7,141289136,48.0,2025-01-18 23:18:58+00:00,2025-01-18 23:18:58+00:00,2025-01-18 23:00:00+00:00
44219012,Beautiful two-bedroom apartment in Spandau,Entire home/apt,60,271235180,45.0,2025-01-18 22:55:10+00:00,2025-01-18 22:55:10+00:00,2025-01-18 22:00:00+00:00
7851334,The room of the rising sun,Private room,4,41296382,20.0,2025-01-18 22:42:35+00:00,2025-01-18 22:42:35+00:00,2025-01-18 22:00:00+00:00
49012266,Extravagant hotel room for 4 central to Subway,Private room,14,108025548,66.0,2025-01-18 22:35:01+00:00,2025-01-18 22:35:01+00:00,2025-01-18 22:00:00+00:00
33772661,Dachterrassenwhg im Herzen Berlin-Charlottenburgs,Entire home/apt,91,215514794,73.0,2025-01-18 22:28:15+00:00,2025-01-18 22:28:15+00:00,2025-01-18 22:00:00+00:00
22557460,"Beautiful and cozy room, 10 min from the center",Private room,1,3208719,26.0,2025-01-18 22:26:42+00:00,2025-01-18 22:26:42+00:00,2025-01-18 22:00:00+00:00
44264891,Dreibettzimmer,Private room,1,304493323,70.0,2025-01-18 22:10:48+00:00,2025-01-18 22:10:48+00:00,2025-01-18 22:00:00+00:00
41280697,Fantastic flat in the heart of Prenzlauer Berg,Entire home/apt,60,42399854,70.0,2025-01-18 21:52:04+00:00,2025-01-18 21:52:04+00:00,2025-01-18 21:00:00+00:00
44974395,the bunny nest,Entire home/apt,5,351093370,80.0,2025-01-18 21:39:34+00:00,2025-01-18 21:39:34+00:00,2025-01-18 21:00:00+00:00
1862730,Apartment in Berlin,Entire home/apt,7,9715630,40.0,2025-01-18 21:06:48+00:00,2025-01-18 21:06:48+00:00,2025-01-18 21:00:00+00:00
21410085,Cosy bedroom in Wedding (good connections to city),Private room,4,123547522,28.0,2025-01-18 21:02:03+00:00,2025-01-18 21:02:03+00:00,2025-01-18 21:00:00+00:00
38370141,"Lovely furnitured, calm and light apartment",Entire home/apt,2,12906416,129.0,2025-01-18 20:35:27+00:00,2025-01-18 20:35:27+00:00,2025-01-18 20:00:00+00:00
48602039,One Room Apartment,Entire home/apt,7,235188041,25.0,2025-01-18 20:31:48+00:00,2025-01-18 20:31:48+00:00,2025-01-18 20:00:00+00:00
32493376,Bright and friendly room in a beautiful area:),Private room,1,35146426,60.0,2025-01-18 19:18:22+00:00,2025-01-18 19:18:22+00:00,2025-01-18 19:00:00+00:00
40440916,Sunny & Spacious Flat in Kastanienallee,Entire home/apt,365,3743292,85.0,2025-01-18 19:10:07+00:00,2025-01-18 19:10:07+00:00,2025-01-18 19:00:00+00:00
30686711,Lovely Studio for one month,Entire home/apt,30,70162844,18.0,2025-01-18 19:09:00+00:00,2025-01-18 19:09:00+00:00,2025-01-18 19:00:00+00:00
22060183,Best area best preis! Cat included!!,Entire home/apt,1,21039758,20.0,2025-01-18 18:33:06+00:00,2025-01-18 18:33:06+00:00,2025-01-18 18:00:00+00:00
7935870,Moabiter Schlummermutter,Shared room,1,41848444,59.0,2025-01-18 18:20:26+00:00,2025-01-18 18:20:26+00:00,2025-01-18 18:00:00+00:00
16424150,Nice and cosy flat in Kreuzberg!,Entire home/apt,3,30338608,55.0,2025-01-18 17:54:51+00:00,2025-01-18 17:54:51+00:00,2025-01-18 17:00:00+00:00
24627537,Cozy west Berlin Altbau in Charlottenburg,Entire home/apt,1,1095067,45.0,2025-01-18 17:48:59+00:00,2025-01-18 17:48:59+00:00,2025-01-18 17:00:00+00:00
44411065,Berlin home directly in Hasenheide park,Private room,7,159614605,45.0,2025-01-18 17:41:26+00:00,2025-01-18 17:41:26+00:00,2025-01-18 17:00:00+00:00
9485145,Nice Berlin Apartment,Entire home/apt,1,12895544,135.0,2025-01-18 17:38:16+00:00,2025-01-18 17:38:16+00:00,2025-01-18 17:00:00+00:00
48997107,Comfy&cozy hotel room for 3 central to subway,Private room,14,108025548,71.0,2025-01-18 17:23:05+00:00,2025-01-18 17:23:05+00:00,2025-01-18 17:00:00+00:00
12035953,Big Apartment near Tegel,Entire home/apt,60,18046938,42.0,2025-01-18 16:56:37+00:00,2025-01-18 16:56:37+00:00,2025-01-18 16:00:00+00:00
5157203,Neukölln!!!,Entire home/apt,1,25561949,40.0,2025-01-18 16:37:25+00:00,2025-01-18 16:37:25+00:00,2025-01-18 16:00:00+00:00
51415401,"Doppelzimmer ""Medium Twin"" Mit 2 Einzelbetten",Private room,1,415771368,190.0,2025-01-18 16:35:11+00:00,2025-01-18 16:35:11+00:00,2025-01-18 16:00:00+00:00
21214782,Schlafen an der Spree,Entire home/apt,5,152068633,35.0,2025-01-18 16:32:43+00:00,2025-01-18 16:32:43+00:00,2025-01-18 16:00:00+00:00
51445317,Cozy & Beautiful Room in Neukölln,Private room,2,80482488,85.0,2025-01-18 16:21:52+00:00,2025-01-18 16:21:52+00:00,2025-01-18 16:00:00+00:00
41430587,Micoswohnung,Private room,1,325856414,80.0,2025-01-18 16:09:19+00:00,2025-01-18 16:09:19+00:00,2025-01-18 16:00:00+00:00
4621461,Kreuzberg 19th century flat,Private room,2,23937038,50.0,2025-01-18 16:07:25+00:00,2025-01-18 16:07:25+00:00,2025-01-18 16:00:00+00:00
20109087,Amazing home in Berlin-Köpenick with Sauna and 2 Bedrooms,Entire home/apt,28,141539959,84.0,2025-01-18 15:51:57+00:00,2025-01-18 15:51:57+00:00,2025-01-18 15:00:00+00:00
17453626,Cosy bright colourful apartment,Entire home/apt,6,7133966,25.0,2025-01-18 15:40:54+00:00,2025-01-18 15:40:54+00:00,2025-01-18 15:00:00+00:00
12468108,"1,5 Zimmer Wohung in Kreuzberg",Entire home/apt,7,62304690,39.0,2025-01-18 15:32:03+00:00,2025-01-18 15:32:03+00:00,2025-01-18 15:00:00+00:00
29847365,Great cozy Berlin room with two floors and balkony,Private room,2,3432145,70.0,2025-01-18 15:15:45+00:00,2025-01-18 15:15:45+00:00,2025-01-18 15:00:00+00:00
38994025,Luxury modern loft close to water,Entire home/apt,14,19520560,140.0,2025-01-18 15:10:56+00:00,2025-01-18 15:10:56+00:00,2025-01-18 15:00:00+00:00
